input1,input2,output1
0,0,0.00063799028374507
0,0.02,0.0006383553004890004
0,0.04,0.0006388666427807528
0,0.06,0.0006395701619845011
0,0.08,0.0006405251536004873
0,0.1,0.000641808283946034
0,0.12000000000000001,0.0006435187151621407
0,0.14,0.0006457848336236135
0,0.16,0.0006487731482284312
0,0.18,0.0006527001644454614
0,0.19999999999999998,0.0006578484021116575
0,0.21999999999999997,0.0006645882836612783
0,0.23999999999999996,0.000673408498960697
0,0.25999999999999995,0.0006849588659924435
0,0.27999999999999997,0.0007001120251383263
0,0.3,0.0007200541929495753
0,0.32,0.0007464218740650808
0,0.34,0.0007815131684313312
0,0.36000000000000004,0.0008286235199721857
0,0.38000000000000006,0.0008925951990665464
0,0.4000000000000001,0.0009807455140652488
0,0.4200000000000001,0.0011044890268609403
0,0.4400000000000001,0.0012822783491602133
0,0.46000000000000013,0.001545149465004174
0,0.48000000000000015,0.0019476289083389983
0,0.5000000000000001,0.002590167468075323
0,0.5200000000000001,0.0036674660100816632
0,0.5400000000000001,0.00557746710706142
0,0.5600000000000002,0.009177625745302467
0,0.5800000000000002,0.01640544446255372
0,0.6000000000000002,0.031779559191343815
0,0.6200000000000002,0.06575478565802864
0,0.6400000000000002,0.14009941364669304
0,0.6600000000000003,0.2860109564906841
0,0.6800000000000003,0.5056575211035738
0,0.7000000000000003,0.7253495227726448
0,0.7200000000000003,0.870166139382489
0,0.7400000000000003,0.9421224827478164
0,0.7600000000000003,0.9736883523174726
0,0.7800000000000004,0.9872611987824742
0,0.8000000000000004,0.993295647040511
0,0.8200000000000004,0.9961361497519495
0,0.8400000000000004,0.9975626030807389
0,0.8600000000000004,0.9983255238656222
0,0.8800000000000004,0.9987566434655044
0,0.9000000000000005,0.999010659125449
0,0.9200000000000005,0.9991636580497841
0,0.9400000000000005,0.9992548944716655
0,0.9600000000000005,0.9993053645806325
0,0.9800000000000005,0.9993264472764991
0.02,0,0.0006383837575151899
0.02,0.02,0.0006389039657679577
0.02,0.04,0.0006396189253567981
0.02,0.06,0.0006405886673348747
0.02,0.08,0.0006418908074706387
0.02,0.1,0.0006436257371589163
0.02,0.12000000000000001,0.0006459234405012707
0.02,0.14,0.0006489525133720528
0.02,0.16,0.0006529322043356292
0.02,0.18,0.0006581486667620335
0.02,0.19999999999999998,0.0006649771820875891
0.02,0.21999999999999997,0.0006739130132603102
0.02,0.23999999999999996,0.0006856149933828086
0.02,0.25999999999999995,0.0007009683294483871
0.02,0.27999999999999997,0.0007211770879651812
0.02,0.3,0.0007479036792468859
0.02,0.32,0.0007834847220255636
0.02,0.34,0.0008312744974448799
0.02,0.36000000000000004,0.0008962078558455673
0.02,0.38000000000000006,0.0009857525817122516
0.02,0.4000000000000001,0.0011115766011178894
0.02,0.4200000000000001,0.0012925757767903363
0.02,0.4400000000000001,0.0015605943197059768
0.02,0.46000000000000013,0.001971699560501446
0.02,0.48000000000000015,0.0026294219222764677
0.02,0.5000000000000001,0.0037349279251804694
0.02,0.5200000000000001,0.005700417128730109
0.02,0.5400000000000001,0.009416221505807777
0.02,0.5600000000000002,0.0168981179301789
0.02,0.5800000000000002,0.032851052110129134
0.02,0.6000000000000002,0.06813825819401371
0.02,0.6200000000000002,0.14516780050113356
0.02,0.6400000000000002,0.2950422716362026
0.02,0.6600000000000003,0.516904423230389
0.02,0.6800000000000003,0.7342018929919868
0.02,0.7000000000000003,0.8749983709873995
0.02,0.7200000000000003,0.9443120871224197
0.02,0.7400000000000003,0.9746301530771511
0.02,0.7600000000000003,0.9876741741211688
0.02,0.7800000000000004,0.9934865118366782
0.02,0.8000000000000004,0.9962303937727259
0.02,0.8200000000000004,0.99761246607554
0.02,0.8400000000000004,0.9983537005174651
0.02,0.8600000000000004,0.9987735297389833
0.02,0.8800000000000004,0.9990212898586844
0.02,0.9000000000000005,0.9991706065617861
0.02,0.9200000000000005,0.9992595416264336
0.02,0.9400000000000005,0.999308481508257
0.02,0.9600000000000005,0.9993284754817657
0.02,0.9800000000000005,0.9993252688734949
0.04,0,0.0006389417854200352
0.04,0.02,0.0006396683257336632
0.04,0.04,0.0006406529981970656
0.04,0.06,0.0006419743796371106
0.04,0.08,0.0006437341059342792
0.04,0.1,0.0006460637790552632
0.04,0.12000000000000001,0.0006491341087197156
0.04,0.14,0.0006531671228302456
0.04,0.16,0.0006584526578125497
0.04,0.18,0.0006653709227994443
0.04,0.19999999999999998,0.0006744238507657333
0.04,0.21999999999999997,0.0006862794294308043
0.04,0.23999999999999996,0.0007018356374930356
0.04,0.25999999999999995,0.0007223147001361947
0.04,0.27999999999999997,0.0007494054100321996
0.04,0.3,0.0007854836611325768
0.04,0.32,0.0008339638078227961
0.04,0.34,0.0008998753644264225
0.04,0.36000000000000004,0.0009908402257196444
0.04,0.38000000000000006,0.001118786253177731
0.04,0.4000000000000001,0.001303064915180079
0.04,0.4200000000000001,0.001576352869436086
0.04,0.4400000000000001,0.0019963078757949185
0.04,0.46000000000000013,0.0026696464960859556
0.04,0.48000000000000015,0.003804240226142941
0.04,0.5000000000000001,0.0058271068221897185
0.04,0.5200000000000001,0.0096628144718329
0.04,0.5400000000000001,0.0174087277916928
0.04,0.5600000000000002,0.033963714984622445
0.04,0.5800000000000002,0.07061284318865332
0.04,0.6000000000000002,0.15040473850067174
0.04,0.6200000000000002,0.30425524339955295
0.04,0.6400000000000002,0.5281405739703662
0.04,0.6600000000000003,0.7428629973654579
0.04,0.6800000000000003,0.879665506493587
0.04,0.7000000000000003,0.94641627518951
0.04,0.7200000000000003,0.9755348466961997
0.04,0.7400000000000003,0.9880716070209036
0.04,0.7600000000000003,0.99367071209477
0.04,0.7800000000000004,0.9963216338537371
0.04,0.8000000000000004,0.9976608900887584
0.04,0.8200000000000004,0.9983811422003833
0.04,0.8400000000000004,0.998790016070841
0.04,0.8600000000000004,0.9990316893397743
0.04,0.8800000000000004,0.9991774134371467
0.04,0.9000000000000005,0.9992640971278577
0.04,0.9200000000000005,0.9993115358456535
0.04,0.9400000000000005,0.999330458532077
0.04,0.9600000000000005,0.9993264257087485
0.04,0.9800000000000005,0.9993017459543709
0.06,0,0.0006397183706758074
0.06,0.02,0.0006407181558900026
0.06,0.04,0.0006420590129199364
0.06,0.06,0.0006438438375631602
0.06,0.08,0.0006462058700618549
0.06,0.1,0.0006493179612258623
0.06,0.12000000000000001,0.0006534049550667113
0.06,0.14,0.0006587604213432891
0.06,0.16,0.0006657695666801541
0.06,0.18,0.0006749410926635189
0.06,0.19999999999999998,0.000686952283623447
0.06,0.21999999999999997,0.0007027140989518053
0.06,0.23999999999999996,0.0007234672374551691
0.06,0.25999999999999995,0.0007509273610727252
0.06,0.27999999999999997,0.0007875104126715896
0.06,0.3,0.0008366920859219959
0.06,0.32,0.0009035986970536693
0.06,0.34,0.0009960099854578438
0.06,0.36000000000000004,0.0011261205123876026
0.06,0.38000000000000006,0.0013137500940257868
0.06,0.4000000000000001,0.0015924328654093275
0.06,0.4200000000000001,0.002021468420037545
0.06,0.4400000000000001,0.0027108700082091467
0.06,0.46000000000000013,0.0038754630437543443
